tx_id,region,route_score,latency_ms,origin_country,dest_country,compliance_result,status
tx_2427,APAC,0.09,135,DE,JP,allowed,fallback
tx_9938,APAC,0.4,135,DE,MX,allowed,fallback
tx_5539,EU,0.16,135,BR,SA,allowed,fallback
tx_7083,LATAM,0.4,143,BR,SA,allowed,fallback
tx_12115,APAC,0.21,135,BR,MX,allowed,fallback
tx_47088,MENA,0.99,139,BR,JP,allowed,allowed
tx_12831,EU,0.1,135,CN,SA,allowed,fallback
tx_30206,EU,0.4,153,CN,JP,allowed,fallback
tx_49387,US,0.9,154,US,FR,allowed,allowed
tx_31683,APAC,0.34,128,US,JP,allowed,fallback
tx_28021,EU,0.4,131,US,US,allowed,fallback
tx_11286,US,0.3,162,US,US,allowed,fallback
tx_24783,US,0.4,171,BR,JP,allowed,fallback
tx_24850,MENA,0.4,171,DE,JP,allowed,fallback
tx_47605,MENA,0.01,125,US,US,allowed,allowed
tx_37922,APAC,0.46,174,BR,MX,allowed,allowed
tx_38096,EU,0.98,169,BR,MX,allowed,allowed
tx_38943,APAC,0.93,118,BR,SA,allowed,allowed
tx_33782,MENA,0.09,135,CN,SA,allowed,fallback
tx_21351,US,0.42,132,AE,FR,allowed,fallback
tx_14607,MENA,0.41,150,AE,US,allowed,fallback
tx_18114,APAC,0.4,135,US,MX,allowed,fallback
tx_49151,LATAM,0.92,65,DE,FR,allowed,allowed
tx_32782,LATAM,0.08,135,AE,MX,allowed,fallback
tx_28985,MENA,0.4,131,AE,SA,allowed,fallback
tx_34743,EU,0.38,128,BR,US,allowed,allowed
tx_22466,LATAM,0.15,135,DE,FR,allowed,fallback
tx_48413,LATAM,0.51,100,CN,US,allowed,allowed
tx_8109,APAC,0.23,135,AE,JP,allowed,fallback
tx_41516,APAC,0.69,101,CN,US,allowed,allowed
tx_24973,LATAM,0.4,128,US,US,allowed,fallback
tx_18970,EU,0.4,135,DE,FR,allowed,fallback
tx_14715,MENA,0.4,135,AE,MX,allowed,fallback
tx_35838,APAC,0.02,117,AE,FR,allowed,allowed
tx_13234,MENA,0.18,135,DE,JP,allowed,fallback
tx_38766,LATAM,1.0,173,BR,FR,allowed,allowed
tx_41900,MENA,0.71,142,BR,US,allowed,allowed
tx_18452,MENA,0.4,135,CN,FR,allowed,fallback
tx_5375,MENA,0.4,135,DE,JP,allowed,fallback
tx_5239,EU,0.4,166,AE,JP,allowed,fallback
tx_20683,US,0.4,135,CN,US,allowed,fallback
tx_32842,MENA,0.4,135,BR,JP,allowed,fallback
tx_15179,US,0.4,135,AE,JP,allowed,fallback
tx_33669,US,0.4,135,BR,MX,allowed,fallback
tx_43496,APAC,0.66,175,DE,FR,allowed,allowed
tx_15118,US,0.4,173,DE,JP,allowed,fallback
tx_47539,US,0.82,76,CN,JP,allowed,allowed
tx_9562,MENA,0.4,140,US,JP,allowed,fallback
tx_16797,EU,0.39,135,CN,US,allowed,fallback
tx_30899,EU,0.2,135,BR,SA,allowed,fallback
tx_20817,EU,0.34,134,CN,FR,allowed,fallback
tx_45386,APAC,0.25,78,US,FR,allowed,allowed
tx_7378,MENA,0.38,174,CN,MX,allowed,fallback
tx_47426,US,0.67,126,BR,SA,allowed,allowed
tx_21326,MENA,0.31,135,AE,MX,allowed,fallback
tx_22661,APAC,0.4,135,DE,SA,allowed,fallback
tx_11396,MENA,0.4,135,AE,MX,allowed,fallback
tx_16865,LATAM,0.4,130,US,JP,allowed,fallback
tx_39831,LATAM,0.97,53,DE,FR,allowed,allowed
tx_7160,MENA,0.09,157,AE,MX,allowed,fallback
tx_22872,LATAM,0.1,135,BR,FR,allowed,fallback
tx_29566,US,0.4,135,DE,US,allowed,fallback
tx_34044,MENA,0.4,123,AE,MX,allowed,fallback
tx_8846,EU,0.19,134,AE,JP,allowed,fallback
tx_1002,LATAM,0.84,54,KP,US,blocked,blocked
tx_7640,LATAM,0.4,135,DE,US,allowed,fallback
tx_25152,APAC,0.4,135,CN,FR,allowed,fallback
tx_19733,APAC,0.2,135,DE,US,allowed,fallback
tx_677,LATAM,0.62,111,CU,FR,blocked,blocked
tx_12458,MENA,0.4,135,DE,SA,allowed,fallback
tx_8451,US,0.4,135,US,MX,allowed,fallback
tx_9796,EU,0.4,121,DE,FR,allowed,fallback
tx_43278,EU,0.99,47,CN,FR,allowed,allowed
tx_25987,APAC,0.37,139,BR,MX,allowed,fallback
tx_18886,EU,0.3,140,AE,FR,allowed,fallback
tx_12975,EU,0.4,135,DE,MX,allowed,fallback
tx_18400,EU,0.4,135,CN,FR,allowed,fallback
tx_15782,EU,0.43,139,CN,MX,allowed,fallback
tx_34174,US,0.97,43,DE,FR,allowed,allowed
tx_7720,MENA,0.4,135,BR,FR,allowed,fallback
tx_45098,APAC,0.29,63,DE,FR,allowed,allowed
tx_36426,LATAM,0.34,37,AE,JP,allowed,allowed
tx_22146,MENA,0.4,170,AE,MX,allowed,fallback
tx_16156,MENA,0.4,135,BR,MX,allowed,fallback
tx_49527,APAC,0.52,82,CN,MX,allowed,allowed
tx_32606,MENA,0.34,177,AE,FR,allowed,fallback
tx_38010,APAC,0.41,55,BR,US,allowed,allowed
tx_17913,APAC,0.17,135,BR,US,allowed,fallback
tx_2649,LATAM,0.11,135,BR,SA,allowed,fallback
tx_36208,LATAM,0.77,53,DE,FR,allowed,allowed
tx_6774,US,0.4,135,BR,JP,allowed,fallback
tx_9906,APAC,0.4,135,DE,MX,allowed,fallback
tx_33378,EU,0.4,135,DE,US,allowed,fallback
tx_15801,EU,0.4,150,CN,US,allowed,fallback
tx_27256,EU,0.4,135,DE,FR,allowed,fallback
tx_8739,US,0.21,135,AE,US,allowed,fallback
tx_19022,US,0.35,139,BR,MX,allowed,fallback
tx_4925,MENA,0.4,135,CN,MX,allowed,fallback
tx_16683,MENA,0.4,135,AE,FR,allowed,fallback
tx_3899,EU,0.4,122,US,MX,allowed,fallback
tx_39281,APAC,0.76,89,AE,FR,allowed,allowed
tx_19123,US,0.4,135,BR,MX,allowed,fallback
tx_33327,LATAM,0.19,157,US,MX,allowed,fallback
tx_31930,LATAM,0.23,144,US,JP,allowed,fallback
tx_7810,US,0.04,176,CN,SA,allowed,fallback
tx_6034,LATAM,0.16,153,CN,JP,allowed,fallback
tx_39977,EU,0.1,176,CN,SA,allowed,allowed
tx_45241,MENA,0.63,57,BR,FR,allowed,allowed
tx_12405,MENA,0.4,135,AE,MX,allowed,fallback
tx_10644,EU,0.4,135,CN,JP,allowed,fallback
tx_5136,MENA,0.4,143,BR,JP,allowed,fallback
tx_46980,LATAM,0.71,88,AE,FR,allowed,allowed
tx_45558,APAC,0.05,164,US,SA,allowed,allowed
tx_19406,APAC,0.34,135,US,FR,allowed,fallback
tx_7301,APAC,0.4,135,CN,US,allowed,fallback
tx_29035,US,0.32,135,US,US,allowed,fallback
tx_5732,LATAM,0.4,122,AE,MX,allowed,fallback
tx_2771,MENA,0.06,122,BR,SA,allowed,fallback
tx_35160,MENA,0.88,47,AE,SA,allowed,allowed
tx_42650,EU,0.46,134,DE,MX,allowed,allowed
tx_37071,EU,0.74,143,US,US,allowed,allowed
tx_21127,LATAM,0.4,135,CN,JP,allowed,fallback
tx_23077,LATAM,0.4,135,BR,SA,allowed,fallback
tx_30924,LATAM,0.4,135,AE,US,allowed,fallback
tx_36269,MENA,0.57,43,BR,SA,allowed,allowed
tx_32098,US,0.4,175,US,MX,allowed,fallback
tx_3967,EU,0.31,167,BR,SA,allowed,fallback
tx_22936,LATAM,0.09,135,US,SA,allowed,fallback
tx_30593,US,0.4,135,AE,JP,allowed,fallback
tx_35632,EU,0.44,158,CN,MX,allowed,allowed
tx_38648,APAC,0.74,32,AE,SA,allowed,allowed
tx_1958,US,0.19,135,BR,JP,allowed,fallback
tx_40154,APAC,0.52,170,AE,JP,allowed,allowed
tx_9523,MENA,0.11,135,DE,JP,allowed,fallback
tx_10187,EU,0.4,135,US,FR,allowed,fallback
tx_14240,EU,0.4,135,BR,US,allowed,fallback
tx_5661,MENA,0.4,135,CN,MX,allowed,fallback
tx_20149,US,0.36,127,BR,SA,allowed,fallback
tx_322,EU,0.39,167,CU,JP,blocked,blocked
tx_48841,APAC,0.99,174,BR,US,allowed,allowed
tx_38894,EU,0.37,141,DE,SA,allowed,allowed
tx_18124,MENA,0.37,135,US,US,allowed,fallback
tx_45586,APAC,0.04,66,CN,SA,allowed,allowed
tx_8788,MENA,0.4,135,US,SA,allowed,fallback
tx_583,LATAM,0.97,57,CU,MX,blocked,blocked
tx_11183,APAC,0.14,148,CN,MX,allowed,fallback
tx_17783,LATAM,0.4,156,CN,FR,allowed,fallback
tx_17529,MENA,0.4,135,CN,US,allowed,fallback
tx_2805,US,0.33,135,CN,FR,allowed,fallback
tx_36313,EU,0.74,137,BR,MX,allowed,allowed
tx_49768,APAC,0.58,163,BR,FR,allowed,allowed
tx_6889,APAC,0.4,135,AE,JP,allowed,fallback
tx_26008,EU,0.4,135,CN,SA,allowed,fallback
tx_39788,EU,0.7,176,CN,FR,allowed,allowed
tx_43977,US,0.04,82,BR,SA,allowed,allowed
tx_40929,APAC,0.95,49,CN,JP,allowed,allowed
tx_24722,MENA,0.4,135,BR,FR,allowed,fallback
tx_24968,EU,0.01,135,AE,SA,allowed,fallback
tx_17240,US,0.4,166,AE,JP,allowed,fallback
tx_30740,APAC,0.22,135,DE,JP,allowed,fallback
tx_2878,EU,0.4,135,CN,FR,allowed,fallback
tx_22833,APAC,0.4,135,BR,JP,allowed,fallback
tx_22781,APAC,0.42,135,BR,US,allowed,fallback
tx_46124,MENA,0.68,87,DE,JP,allowed,allowed
tx_24304,US,0.4,128,AE,FR,allowed,fallback
tx_17810,EU,0.4,135,CN,JP,allowed,fallback
tx_5037,APAC,0.4,155,AE,SA,allowed,fallback
tx_19978,EU,0.29,135,AE,FR,allowed,fallback
tx_49760,LATAM,0.71,71,CN,JP,allowed,allowed
tx_29668,LATAM,0.04,135,US,FR,allowed,fallback
tx_31045,LATAM,0.42,135,CN,US,allowed,fallback
tx_23002,LATAM,0.37,161,BR,FR,allowed,fallback
tx_44253,EU,0.75,129,DE,MX,allowed,allowed
tx_10477,MENA,0.27,135,US,US,allowed,fallback
tx_19835,MENA,0.4,158,DE,US,allowed,fallback
tx_40235,LATAM,0.15,151,DE,US,allowed,allowed
tx_18833,LATAM,0.4,135,BR,FR,allowed,fallback
tx_17085,MENA,0.35,127,CN,US,allowed,fallback
tx_12161,APAC,0.4,157,AE,SA,allowed,fallback
tx_14664,US,0.4,175,AE,FR,allowed,fallback
tx_45860,US,0.02,173,CN,FR,allowed,allowed
tx_29670,APAC,0.4,121,CN,US,allowed,fallback
tx_43924,APAC,0.93,42,BR,MX,allowed,allowed
tx_48902,MENA,0.68,55,CN,SA,allowed,allowed
tx_11796,US,0.12,121,DE,FR,allowed,fallback
tx_21568,LATAM,0.4,138,AE,JP,allowed,fallback
tx_23823,US,0.28,161,US,FR,allowed,fallback
tx_12059,LATAM,0.07,135,DE,MX,allowed,fallback
tx_32692,MENA,0.4,135,DE,US,allowed,fallback
tx_4079,LATAM,0.4,135,AE,MX,allowed,fallback
tx_25226,EU,0.4,135,CN,JP,allowed,fallback
tx_17143,MENA,0.44,132,AE,SA,allowed,fallback
tx_42467,APAC,0.48,176,DE,MX,allowed,allowed
tx_33733,EU,0.4,135,CN,SA,allowed,fallback
tx_16638,APAC,0.2,134,US,FR,allowed,fallback
tx_28096,LATAM,0.27,135,AE,JP,allowed,fallback
tx_47264,LATAM,0.78,101,BR,SA,allowed,allowed
tx_25743,US,0.38,162,CN,JP,allowed,fallback
tx_31117,APAC,0.03,135,AE,MX,allowed,fallback
tx_33212,US,0.35,135,AE,SA,allowed,fallback
tx_23680,LATAM,0.4,135,AE,JP,allowed,fallback
tx_38251,EU,0.02,129,AE,SA,allowed,allowed
tx_1299,MENA,0.4,135,AE,JP,allowed,fallback
tx_44030,US,0.64,67,AE,FR,allowed,allowed
tx_21744,MENA,0.13,135,BR,FR,allowed,fallback
tx_11486,APAC,0.4,135,AE,JP,allowed,fallback
tx_17014,LATAM,0.4,135,AE,SA,allowed,fallback
tx_44369,APAC,0.37,120,US,JP,allowed,allowed
tx_28884,US,0.0,135,CN,SA,allowed,fallback
tx_6188,APAC,0.4,135,US,JP,allowed,fallback
tx_8231,MENA,0.34,135,DE,SA,allowed,fallback
tx_45097,EU,0.4,76,DE,MX,allowed,allowed
tx_14232,EU,0.4,121,US,US,allowed,fallback
tx_23743,US,0.4,165,AE,FR,allowed,fallback
tx_9489,US,0.37,125,US,MX,allowed,fallback
tx_14978,EU,0.4,139,AE,JP,allowed,fallback
tx_7194,LATAM,0.4,123,US,US,allowed,fallback
tx_46813,MENA,0.83,172,BR,JP,allowed,allowed
tx_29853,MENA,0.23,135,CN,SA,allowed,fallback
tx_14345,EU,0.42,135,CN,JP,allowed,fallback
tx_2806,MENA,0.4,146,US,FR,allowed,fallback
tx_42107,EU,0.07,66,US,SA,allowed,allowed
tx_28916,APAC,0.08,135,DE,FR,allowed,fallback
tx_15913,US,0.4,135,BR,MX,allowed,fallback
tx_27477,LATAM,0.04,135,US,SA,allowed,fallback
tx_4193,MENA,0.32,133,US,JP,allowed,fallback
tx_10127,EU,0.4,135,AE,JP,allowed,fallback
tx_48619,APAC,0.49,134,US,SA,allowed,allowed
tx_6253,US,0.07,135,BR,MX,allowed,fallback
tx_11477,LATAM,0.4,135,CN,FR,allowed,fallback
tx_21392,US,0.25,180,AE,MX,allowed,fallback
tx_43760,APAC,0.8,31,US,JP,allowed,allowed
tx_23162,US,0.4,135,US,JP,allowed,fallback
tx_10933,LATAM,0.41,135,DE,SA,allowed,fallback
tx_39530,EU,0.14,95,AE,FR,allowed,allowed
tx_20590,APAC,0.4,126,US,JP,allowed,fallback
tx_38049,LATAM,0.16,49,BR,FR,allowed,allowed
tx_20705,EU,0.4,124,CN,MX,allowed,fallback
tx_25141,MENA,0.33,135,BR,SA,allowed,fallback
tx_40429,APAC,0.54,134,CN,MX,allowed,allowed
tx_26956,US,0.4,135,DE,SA,allowed,fallback
tx_23845,LATAM,0.4,135,AE,MX,allowed,fallback
tx_11361,EU,0.05,135,CN,MX,allowed,fallback
tx_25719,EU,0.4,135,BR,US,allowed,fallback
tx_45897,LATAM,0.03,145,CN,SA,allowed,allowed
tx_28964,MENA,0.4,139,BR,SA,allowed,fallback
tx_3988,US,0.4,165,BR,US,allowed,fallback
tx_46116,EU,0.54,178,AE,FR,allowed,allowed
tx_13148,MENA,0.05,135,AE,FR,allowed,fallback
tx_1197,LATAM,0.56,63,CU,MX,blocked,blocked
tx_32101,EU,0.4,135,DE,FR,allowed,fallback
tx_20779,APAC,0.4,135,CN,JP,allowed,fallback
tx_11951,US,0.4,135,AE,JP,allowed,fallback
tx_27286,LATAM,0.15,130,DE,FR,allowed,fallback
tx_19632,LATAM,0.4,135,CN,SA,allowed,fallback
tx_29341,US,0.4,135,US,SA,allowed,fallback
tx_16671,MENA,0.4,135,CN,FR,allowed,fallback
tx_4029,EU,0.4,135,BR,MX,allowed,fallback
tx_20627,MENA,0.4,153,BR,US,allowed,fallback
tx_41609,EU,0.25,113,DE,JP,allowed,allowed
tx_21054,EU,0.4,135,DE,JP,allowed,fallback
tx_1424,US,0.4,144,US,FR,allowed,fallback
tx_18568,MENA,0.23,135,DE,JP,allowed,fallback
tx_34021,EU,0.4,154,AE,SA,allowed,fallback
tx_32472,APAC,0.36,157,US,US,allowed,fallback
tx_8350,EU,0.32,158,DE,US,allowed,fallback
tx_9030,LATAM,0.4,135,BR,US,allowed,fallback
tx_48281,APAC,0.97,102,US,JP,allowed,allowed
tx_42808,MENA,0.11,39,DE,US,allowed,allowed
tx_7814,US,0.4,135,BR,FR,allowed,fallback
tx_24298,US,0.32,121,AE,SA,allowed,fallback
tx_47248,EU,0.92,103,US,SA,allowed,allowed
tx_7744,EU,0.15,135,CN,SA,allowed,fallback
tx_35148,LATAM,0.73,103,AE,MX,allowed,allowed
tx_34907,EU,0.53,89,BR,MX,allowed,allowed
tx_14693,US,0.31,135,CN,JP,allowed,fallback
tx_29567,EU,0.4,135,CN,MX,allowed,fallback
tx_35587,MENA,0.46,105,US,FR,allowed,allowed
tx_38741,EU,0.35,34,BR,FR,allowed,allowed
tx_18758,EU,0.4,180,US,FR,allowed,fallback
tx_45219,LATAM,0.89,37,BR,JP,allowed,allowed
tx_2911,EU,0.4,162,BR,JP,allowed,fallback
tx_39927,LATAM,0.77,137,AE,FR,allowed,allowed
tx_280,US,0.36,132,RU,MX,blocked,blocked
tx_49477,APAC,0.8,91,AE,JP,allowed,allowed
tx_48788,US,0.02,49,CN,FR,allowed,allowed
tx_14214,LATAM,0.4,180,US,MX,allowed,fallback
tx_10584,APAC,0.4,135,DE,JP,allowed,fallback
tx_14711,LATAM,0.4,135,DE,SA,allowed,fallback
tx_20061,US,0.4,135,US,US,allowed,fallback
tx_47321,LATAM,0.71,118,DE,FR,allowed,allowed
tx_30968,EU,0.4,122,US,FR,allowed,fallback
tx_46701,EU,0.49,128,BR,SA,allowed,allowed
tx_32219,EU,0.4,135,CN,JP,allowed,fallback
tx_6809,APAC,0.4,130,BR,MX,allowed,fallback
tx_13584,MENA,0.07,135,CN,MX,allowed,fallback
tx_34080,LATAM,0.43,152,US,FR,allowed,fallback
tx_30254,MENA,0.4,135,BR,MX,allowed,fallback
tx_15622,MENA,0.05,142,US,US,allowed,fallback
tx_28654,EU,0.4,135,CN,JP,allowed,fallback
tx_39140,LATAM,0.57,112,AE,SA,allowed,allowed
tx_21225,LATAM,0.4,124,CN,FR,allowed,fallback
tx_27644,APAC,0.4,139,DE,FR,allowed,fallback
tx_25980,APAC,0.33,135,BR,US,allowed,fallback
tx_6520,MENA,0.4,154,CN,MX,allowed,fallback
tx_3479,MENA,0.4,154,AE,JP,allowed,fallback
tx_24686,EU,0.4,123,AE,US,allowed,fallback
tx_11603,APAC,0.28,135,AE,MX,allowed,fallback
tx_27539,APAC,0.4,135,BR,MX,allowed,fallback
tx_36743,US,0.85,121,AE,MX,allowed,allowed
tx_10819,APAC,0.36,147,DE,FR,allowed,fallback
tx_29083,US,0.34,129,DE,SA,allowed,fallback
tx_3132,APAC,0.4,135,CN,US,allowed,fallback
tx_28210,US,0.13,135,CN,MX,allowed,fallback
tx_18373,US,0.44,135,DE,SA,allowed,fallback
tx_28101,EU,0.4,135,CN,SA,allowed,fallback
tx_39882,MENA,0.24,47,US,US,allowed,allowed
tx_12222,US,0.32,135,US,MX,allowed,fallback
tx_36677,LATAM,0.94,175,US,JP,allowed,allowed
tx_20752,APAC,0.33,135,CN,JP,allowed,fallback
tx_17219,LATAM,0.4,135,US,JP,allowed,fallback
tx_2788,US,0.4,135,US,JP,allowed,fallback
tx_12433,APAC,0.4,180,US,MX,allowed,fallback
tx_1096,LATAM,0.97,57,KP,US,blocked,blocked
tx_3144,MENA,0.4,135,BR,SA,allowed,fallback
tx_48503,LATAM,0.64,102,US,SA,allowed,allowed
tx_25322,MENA,0.4,135,US,US,allowed,fallback
tx_17098,MENA,0.4,135,DE,MX,allowed,fallback
tx_49965,US,0.63,81,AE,MX,allowed,allowed
tx_22478,MENA,0.4,154,BR,US,allowed,fallback
tx_49005,LATAM,0.19,165,BR,US,allowed,allowed
tx_4186,APAC,0.4,168,US,MX,allowed,fallback
tx_29094,LATAM,0.29,135,AE,JP,allowed,fallback
tx_30892,LATAM,0.44,135,AE,MX,allowed,fallback
tx_37518,MENA,0.95,152,AE,MX,allowed,allowed
tx_1203,APAC,0.32,57,IR,FR,blocked,blocked
tx_21612,US,0.4,135,BR,MX,allowed,fallback
tx_604,MENA,0.91,105,RU,SA,blocked,blocked
tx_18508,US,0.44,135,BR,JP,allowed,fallback
tx_39231,US,0.89,122,AE,SA,allowed,allowed
tx_43346,MENA,0.73,139,US,FR,allowed,allowed
tx_43865,MENA,0.19,125,BR,JP,allowed,allowed
tx_2532,US,0.43,135,DE,JP,allowed,fallback
tx_15930,APAC,0.4,160,AE,MX,allowed,fallback
tx_19014,MENA,0.08,135,CN,JP,allowed,fallback
tx_25017,LATAM,0.4,135,CN,JP,allowed,fallback
tx_5431,APAC,0.4,153,BR,US,allowed,fallback
tx_19559,APAC,0.43,138,US,JP,allowed,fallback
tx_29554,US,0.0,135,CN,MX,allowed,fallback
tx_42519,LATAM,0.65,58,US,JP,allowed,allowed
tx_14048,LATAM,0.4,154,BR,US,allowed,fallback
tx_24058,LATAM,0.4,135,DE,MX,allowed,fallback
tx_20454,US,0.4,135,CN,MX,allowed,fallback
tx_6831,MENA,0.4,135,AE,US,allowed,fallback
tx_32363,LATAM,0.19,135,DE,JP,allowed,fallback
tx_37822,US,0.74,177,US,JP,allowed,allowed
tx_46533,APAC,0.67,66,BR,US,allowed,allowed
tx_31691,LATAM,0.26,135,CN,JP,allowed,fallback
