tx_id,ops_count,latency_ms,fee_xrp,routing,compliance
xrpl_tx_45,1,95,1.2e-05,XRP only,None
xrpl_tx_46,1,95,1.2e-05,XRP only,None
xrpl_tx_47,1,95,1.2e-05,XRP only,None
xrpl_tx_48,1,95,1.2e-05,XRP only,None
xrpl_tx_49,1,95,1.2e-05,XRP only,None
xrpl_tx_50,1,95,1.2e-05,XRP only,None
xrpl_tx_51,1,95,1.2e-05,XRP only,None
xrpl_tx_52,1,95,1.2e-05,XRP only,None
xrpl_tx_53,1,95,1.2e-05,XRP only,None
xrpl_tx_54,1,95,1.2e-05,XRP only,None
xrpl_tx_55,1,95,1.2e-05,XRP only,None
xrpl_tx_56,1,95,1.2e-05,XRP only,None
xrpl_tx_57,1,95,1.2e-05,XRP only,None
xrpl_tx_58,1,95,1.2e-05,XRP only,None
xrpl_tx_59,1,95,1.2e-05,XRP only,None
xrpl_tx_60,1,95,1.2e-05,XRP only,None
xrpl_tx_61,1,95,1.2e-05,XRP only,None
xrpl_tx_62,1,95,1.2e-05,XRP only,None
xrpl_tx_63,1,95,1.2e-05,XRP only,None
xrpl_tx_64,1,95,1.2e-05,XRP only,None
xrpl_tx_65,1,95,1.2e-05,XRP only,None
xrpl_tx_66,1,95,1.2e-05,XRP only,None
xrpl_tx_67,1,95,1.2e-05,XRP only,None
xrpl_tx_68,1,95,1.2e-05,XRP only,None
xrpl_tx_69,1,95,1.2e-05,XRP only,None
xrpl_tx_70,1,95,1.2e-05,XRP only,None
xrpl_tx_71,1,95,1.2e-05,XRP only,None
xrpl_tx_72,1,95,1.2e-05,XRP only,None
xrpl_tx_73,1,95,1.2e-05,XRP only,None
xrpl_tx_74,1,95,1.2e-05,XRP only,None
xrpl_tx_75,1,95,1.2e-05,XRP only,None
xrpl_tx_76,1,95,1.2e-05,XRP only,None
xrpl_tx_77,1,95,1.2e-05,XRP only,None
xrpl_tx_78,1,95,1.2e-05,XRP only,None
xrpl_tx_79,1,95,1.2e-05,XRP only,None
xrpl_tx_80,1,95,1.2e-05,XRP only,None
xrpl_tx_81,1,95,1.2e-05,XRP only,None
xrpl_tx_82,1,95,1.2e-05,XRP only,None
xrpl_tx_83,1,95,1.2e-05,XRP only,None
xrpl_tx_84,1,95,1.2e-05,XRP only,None
xrpl_tx_85,1,95,1.2e-05,XRP only,None
xrpl_tx_86,1,95,1.2e-05,XRP only,None
xrpl_tx_87,1,95,1.2e-05,XRP only,None
xrpl_tx_88,1,95,1.2e-05,XRP only,None
xrpl_tx_89,1,95,1.2e-05,XRP only,None
xrpl_tx_90,1,95,1.2e-05,XRP only,None
xrpl_tx_91,1,95,1.2e-05,XRP only,None
xrpl_tx_92,1,95,1.2e-05,XRP only,None
xrpl_tx_93,1,95,1.2e-05,XRP only,None
xrpl_tx_94,1,95,1.2e-05,XRP only,None
xrpl_tx_95,1,95,1.2e-05,XRP only,None
xrpl_tx_96,1,95,1.2e-05,XRP only,None
xrpl_tx_97,1,95,1.2e-05,XRP only,None
xrpl_tx_98,1,95,1.2e-05,XRP only,None
xrpl_tx_99,1,95,1.2e-05,XRP only,None
xrpl_tx_100,1,95,1.2e-05,XRP only,None
xrpl_tx_101,1,95,1.2e-05,XRP only,None
xrpl_tx_102,1,95,1.2e-05,XRP only,None
xrpl_tx_103,1,95,1.2e-05,XRP only,None
xrpl_tx_104,1,95,1.2e-05,XRP only,None
xrpl_tx_105,1,95,1.2e-05,XRP only,None
xrpl_tx_106,1,95,1.2e-05,XRP only,None
xrpl_tx_107,1,95,1.2e-05,XRP only,None
xrpl_tx_108,1,95,1.2e-05,XRP only,None
xrpl_tx_109,1,95,1.2e-05,XRP only,None
xrpl_tx_110,1,95,1.2e-05,XRP only,None
xrpl_tx_111,1,95,1.2e-05,XRP only,None
xrpl_tx_112,1,95,1.2e-05,XRP only,None
xrpl_tx_113,1,95,1.2e-05,XRP only,None
xrpl_tx_114,1,95,1.2e-05,XRP only,None
xrpl_tx_115,1,95,1.2e-05,XRP only,None
xrpl_tx_116,1,95,1.2e-05,XRP only,None
xrpl_tx_117,1,95,1.2e-05,XRP only,None
xrpl_tx_118,1,95,1.2e-05,XRP only,None
xrpl_tx_119,1,95,1.2e-05,XRP only,None
xrpl_tx_120,1,95,1.2e-05,XRP only,None
xrpl_tx_121,1,95,1.2e-05,XRP only,None
xrpl_tx_122,1,95,1.2e-05,XRP only,None
xrpl_tx_123,1,95,1.2e-05,XRP only,None
xrpl_tx_124,1,95,1.2e-05,XRP only,None
xrpl_tx_125,1,95,1.2e-05,XRP only,None
xrpl_tx_126,1,95,1.2e-05,XRP only,None
xrpl_tx_127,1,95,1.2e-05,XRP only,None
xrpl_tx_128,1,95,1.2e-05,XRP only,None
xrpl_tx_129,1,95,1.2e-05,XRP only,None
xrpl_tx_130,1,95,1.2e-05,XRP only,None
xrpl_tx_131,1,95,1.2e-05,XRP only,None
xrpl_tx_132,1,95,1.2e-05,XRP only,None
xrpl_tx_133,1,95,1.2e-05,XRP only,None
xrpl_tx_134,1,95,1.2e-05,XRP only,None
xrpl_tx_135,1,95,1.2e-05,XRP only,None
xrpl_tx_136,1,95,1.2e-05,XRP only,None
xrpl_tx_137,1,95,1.2e-05,XRP only,None
xrpl_tx_138,1,95,1.2e-05,XRP only,None
xrpl_tx_139,1,95,1.2e-05,XRP only,None
xrpl_tx_140,1,95,1.2e-05,XRP only,None
xrpl_tx_141,1,95,1.2e-05,XRP only,None
xrpl_tx_142,1,95,1.2e-05,XRP only,None
xrpl_tx_143,1,95,1.2e-05,XRP only,None
xrpl_tx_144,1,95,1.2e-05,XRP only,None
xrpl_tx_145,1,95,1.2e-05,XRP only,None
xrpl_tx_146,1,95,1.2e-05,XRP only,None
xrpl_tx_147,1,95,1.2e-05,XRP only,None
xrpl_tx_148,1,95,1.2e-05,XRP only,None
xrpl_tx_149,1,95,1.2e-05,XRP only,None
xrpl_tx_150,1,95,1.2e-05,XRP only,None
xrpl_tx_151,1,95,1.2e-05,XRP only,None
xrpl_tx_152,1,95,1.2e-05,XRP only,None
xrpl_tx_153,1,95,1.2e-05,XRP only,None
xrpl_tx_154,1,95,1.2e-05,XRP only,None
xrpl_tx_155,1,95,1.2e-05,XRP only,None
xrpl_tx_156,1,95,1.2e-05,XRP only,None
xrpl_tx_157,1,95,1.2e-05,XRP only,None
xrpl_tx_158,1,95,1.2e-05,XRP only,None
xrpl_tx_159,1,95,1.2e-05,XRP only,None
xrpl_tx_160,1,95,1.2e-05,XRP only,None
xrpl_tx_161,1,95,1.2e-05,XRP only,None
xrpl_tx_162,1,95,1.2e-05,XRP only,None
xrpl_tx_163,1,95,1.2e-05,XRP only,None
xrpl_tx_164,1,95,1.2e-05,XRP only,None
xrpl_tx_165,1,95,1.2e-05,XRP only,None
xrpl_tx_166,1,95,1.2e-05,XRP only,None
xrpl_tx_167,1,95,1.2e-05,XRP only,None
xrpl_tx_168,1,95,1.2e-05,XRP only,None
xrpl_tx_169,1,95,1.2e-05,XRP only,None
xrpl_tx_170,1,95,1.2e-05,XRP only,None
xrpl_tx_171,1,95,1.2e-05,XRP only,None
xrpl_tx_172,1,95,1.2e-05,XRP only,None
xrpl_tx_173,1,95,1.2e-05,XRP only,None
xrpl_tx_174,1,95,1.2e-05,XRP only,None
xrpl_tx_175,1,95,1.2e-05,XRP only,None
xrpl_tx_176,1,95,1.2e-05,XRP only,None
xrpl_tx_177,1,95,1.2e-05,XRP only,None
xrpl_tx_178,1,95,1.2e-05,XRP only,None
xrpl_tx_179,1,95,1.2e-05,XRP only,None
xrpl_tx_180,1,95,1.2e-05,XRP only,None
xrpl_tx_181,1,95,1.2e-05,XRP only,None
xrpl_tx_182,1,95,1.2e-05,XRP only,None
xrpl_tx_183,1,95,1.2e-05,XRP only,None
xrpl_tx_184,1,95,1.2e-05,XRP only,None
xrpl_tx_185,1,95,1.2e-05,XRP only,None
xrpl_tx_186,1,95,1.2e-05,XRP only,None
xrpl_tx_187,1,95,1.2e-05,XRP only,None
xrpl_tx_188,1,95,1.2e-05,XRP only,None
xrpl_tx_189,1,95,1.2e-05,XRP only,None
xrpl_tx_190,1,95,1.2e-05,XRP only,None
xrpl_tx_191,1,95,1.2e-05,XRP only,None
xrpl_tx_192,1,95,1.2e-05,XRP only,None
xrpl_tx_193,1,95,1.2e-05,XRP only,None
xrpl_tx_194,1,95,1.2e-05,XRP only,None
xrpl_tx_195,1,95,1.2e-05,XRP only,None
xrpl_tx_196,1,95,1.2e-05,XRP only,None
xrpl_tx_197,1,95,1.2e-05,XRP only,None
xrpl_tx_198,1,95,1.2e-05,XRP only,None
xrpl_tx_199,1,95,1.2e-05,XRP only,None
xrpl_tx_200,1,95,1.2e-05,XRP only,None
xrpl_tx_201,1,95,1.2e-05,XRP only,None
xrpl_tx_202,1,95,1.2e-05,XRP only,None
xrpl_tx_203,1,95,1.2e-05,XRP only,None
xrpl_tx_204,1,95,1.2e-05,XRP only,None
xrpl_tx_205,1,95,1.2e-05,XRP only,None
xrpl_tx_206,1,95,1.2e-05,XRP only,None
xrpl_tx_207,1,95,1.2e-05,XRP only,None
xrpl_tx_208,1,95,1.2e-05,XRP only,None
xrpl_tx_209,1,95,1.2e-05,XRP only,None
xrpl_tx_210,1,95,1.2e-05,XRP only,None
xrpl_tx_211,1,95,1.2e-05,XRP only,None
xrpl_tx_212,1,95,1.2e-05,XRP only,None
xrpl_tx_213,1,95,1.2e-05,XRP only,None
xrpl_tx_214,1,95,1.2e-05,XRP only,None
xrpl_tx_215,1,95,1.2e-05,XRP only,None
xrpl_tx_216,1,95,1.2e-05,XRP only,None
xrpl_tx_217,1,95,1.2e-05,XRP only,None
xrpl_tx_218,1,95,1.2e-05,XRP only,None
xrpl_tx_219,1,95,1.2e-05,XRP only,None
xrpl_tx_220,1,95,1.2e-05,XRP only,None
xrpl_tx_221,1,95,1.2e-05,XRP only,None
xrpl_tx_222,1,95,1.2e-05,XRP only,None
xrpl_tx_223,1,95,1.2e-05,XRP only,None
xrpl_tx_224,1,95,1.2e-05,XRP only,None
xrpl_tx_225,1,95,1.2e-05,XRP only,None
xrpl_tx_226,1,95,1.2e-05,XRP only,None
xrpl_tx_227,1,95,1.2e-05,XRP only,None
xrpl_tx_228,1,95,1.2e-05,XRP only,None
xrpl_tx_229,1,95,1.2e-05,XRP only,None
xrpl_tx_230,1,95,1.2e-05,XRP only,None
xrpl_tx_231,1,95,1.2e-05,XRP only,None
xrpl_tx_232,1,95,1.2e-05,XRP only,None
xrpl_tx_233,1,95,1.2e-05,XRP only,None
xrpl_tx_234,1,95,1.2e-05,XRP only,None
xrpl_tx_235,1,95,1.2e-05,XRP only,None
xrpl_tx_236,1,95,1.2e-05,XRP only,None
xrpl_tx_237,1,95,1.2e-05,XRP only,None
xrpl_tx_238,1,95,1.2e-05,XRP only,None
xrpl_tx_239,1,95,1.2e-05,XRP only,None
xrpl_tx_240,1,95,1.2e-05,XRP only,None
xrpl_tx_241,1,95,1.2e-05,XRP only,None
xrpl_tx_242,1,95,1.2e-05,XRP only,None
xrpl_tx_243,1,95,1.2e-05,XRP only,None
xrpl_tx_244,1,95,1.2e-05,XRP only,None
xrpl_tx_245,1,95,1.2e-05,XRP only,None
xrpl_tx_246,1,95,1.2e-05,XRP only,None
xrpl_tx_247,1,95,1.2e-05,XRP only,None
xrpl_tx_248,1,95,1.2e-05,XRP only,None
xrpl_tx_249,1,95,1.2e-05,XRP only,None
xrpl_tx_250,1,95,1.2e-05,XRP only,None
xrpl_tx_251,1,95,1.2e-05,XRP only,None
xrpl_tx_252,1,95,1.2e-05,XRP only,None
xrpl_tx_253,1,95,1.2e-05,XRP only,None
xrpl_tx_254,1,95,1.2e-05,XRP only,None
xrpl_tx_255,1,95,1.2e-05,XRP only,None
xrpl_tx_256,1,95,1.2e-05,XRP only,None
xrpl_tx_257,1,95,1.2e-05,XRP only,None
xrpl_tx_258,1,95,1.2e-05,XRP only,None
xrpl_tx_259,1,95,1.2e-05,XRP only,None
xrpl_tx_260,1,95,1.2e-05,XRP only,None
xrpl_tx_261,1,95,1.2e-05,XRP only,None
xrpl_tx_262,1,95,1.2e-05,XRP only,None
xrpl_tx_263,1,95,1.2e-05,XRP only,None
xrpl_tx_264,1,95,1.2e-05,XRP only,None
xrpl_tx_265,1,95,1.2e-05,XRP only,None
xrpl_tx_266,1,95,1.2e-05,XRP only,None
xrpl_tx_267,1,95,1.2e-05,XRP only,None
xrpl_tx_268,1,95,1.2e-05,XRP only,None
xrpl_tx_269,1,95,1.2e-05,XRP only,None
xrpl_tx_270,1,95,1.2e-05,XRP only,None
xrpl_tx_271,1,95,1.2e-05,XRP only,None
xrpl_tx_272,1,95,1.2e-05,XRP only,None
xrpl_tx_273,1,95,1.2e-05,XRP only,None
xrpl_tx_274,1,95,1.2e-05,XRP only,None
xrpl_tx_275,1,95,1.2e-05,XRP only,None
xrpl_tx_276,1,95,1.2e-05,XRP only,None
xrpl_tx_277,1,95,1.2e-05,XRP only,None
xrpl_tx_278,1,95,1.2e-05,XRP only,None
xrpl_tx_279,1,95,1.2e-05,XRP only,None
xrpl_tx_280,1,95,1.2e-05,XRP only,None
xrpl_tx_281,1,95,1.2e-05,XRP only,None
xrpl_tx_282,1,95,1.2e-05,XRP only,None
xrpl_tx_283,1,95,1.2e-05,XRP only,None
xrpl_tx_284,1,95,1.2e-05,XRP only,None
xrpl_tx_285,1,95,1.2e-05,XRP only,None
xrpl_tx_286,1,95,1.2e-05,XRP only,None
xrpl_tx_287,1,95,1.2e-05,XRP only,None
xrpl_tx_288,1,95,1.2e-05,XRP only,None
xrpl_tx_289,1,95,1.2e-05,XRP only,None
xrpl_tx_290,1,95,1.2e-05,XRP only,None
xrpl_tx_291,1,95,1.2e-05,XRP only,None
xrpl_tx_292,1,95,1.2e-05,XRP only,None
xrpl_tx_293,1,95,1.2e-05,XRP only,None
xrpl_tx_294,1,95,1.2e-05,XRP only,None
xrpl_tx_295,1,95,1.2e-05,XRP only,None
xrpl_tx_296,1,95,1.2e-05,XRP only,None
xrpl_tx_297,1,95,1.2e-05,XRP only,None
xrpl_tx_298,1,95,1.2e-05,XRP only,None
xrpl_tx_299,1,95,1.2e-05,XRP only,None
xrpl_tx_300,1,95,1.2e-05,XRP only,None
xrpl_tx_301,1,95,1.2e-05,XRP only,None
xrpl_tx_302,1,95,1.2e-05,XRP only,None
xrpl_tx_303,1,95,1.2e-05,XRP only,None
xrpl_tx_304,1,95,1.2e-05,XRP only,None
xrpl_tx_305,1,95,1.2e-05,XRP only,None
xrpl_tx_306,1,95,1.2e-05,XRP only,None
xrpl_tx_307,1,95,1.2e-05,XRP only,None
xrpl_tx_308,1,95,1.2e-05,XRP only,None
xrpl_tx_309,1,95,1.2e-05,XRP only,None
xrpl_tx_310,1,95,1.2e-05,XRP only,None
xrpl_tx_311,1,95,1.2e-05,XRP only,None
xrpl_tx_312,1,95,1.2e-05,XRP only,None
xrpl_tx_313,1,95,1.2e-05,XRP only,None
xrpl_tx_314,1,95,1.2e-05,XRP only,None
xrpl_tx_315,1,95,1.2e-05,XRP only,None
xrpl_tx_316,1,95,1.2e-05,XRP only,None
xrpl_tx_317,1,95,1.2e-05,XRP only,None
xrpl_tx_318,1,95,1.2e-05,XRP only,None
xrpl_tx_319,1,95,1.2e-05,XRP only,None
xrpl_tx_320,1,95,1.2e-05,XRP only,None
xrpl_tx_321,1,95,1.2e-05,XRP only,None
xrpl_tx_322,1,95,1.2e-05,XRP only,None
xrpl_tx_323,1,95,1.2e-05,XRP only,None
xrpl_tx_324,1,95,1.2e-05,XRP only,None
xrpl_tx_325,1,95,1.2e-05,XRP only,None
xrpl_tx_326,1,95,1.2e-05,XRP only,None
xrpl_tx_327,1,95,1.2e-05,XRP only,None
xrpl_tx_328,1,95,1.2e-05,XRP only,None
xrpl_tx_329,1,95,1.2e-05,XRP only,None
xrpl_tx_330,1,95,1.2e-05,XRP only,None
xrpl_tx_331,1,95,1.2e-05,XRP only,None
xrpl_tx_332,1,95,1.2e-05,XRP only,None
xrpl_tx_333,1,95,1.2e-05,XRP only,None
xrpl_tx_334,1,95,1.2e-05,XRP only,None
xrpl_tx_335,1,95,1.2e-05,XRP only,None
xrpl_tx_336,1,95,1.2e-05,XRP only,None
xrpl_tx_337,1,95,1.2e-05,XRP only,None
xrpl_tx_338,1,95,1.2e-05,XRP only,None
xrpl_tx_339,1,95,1.2e-05,XRP only,None
xrpl_tx_340,1,95,1.2e-05,XRP only,None
xrpl_tx_341,1,95,1.2e-05,XRP only,None
xrpl_tx_342,1,95,1.2e-05,XRP only,None
xrpl_tx_343,1,95,1.2e-05,XRP only,None
xrpl_tx_344,1,95,1.2e-05,XRP only,None
xrpl_tx_345,1,95,1.2e-05,XRP only,None
xrpl_tx_346,1,95,1.2e-05,XRP only,None
xrpl_tx_347,1,95,1.2e-05,XRP only,None
xrpl_tx_348,1,95,1.2e-05,XRP only,None
xrpl_tx_349,1,95,1.2e-05,XRP only,None
xrpl_tx_350,1,95,1.2e-05,XRP only,None
xrpl_tx_351,1,95,1.2e-05,XRP only,None
xrpl_tx_352,1,95,1.2e-05,XRP only,None
xrpl_tx_353,1,95,1.2e-05,XRP only,None
xrpl_tx_354,1,95,1.2e-05,XRP only,None
xrpl_tx_355,1,95,1.2e-05,XRP only,None
xrpl_tx_356,1,95,1.2e-05,XRP only,None
xrpl_tx_357,1,95,1.2e-05,XRP only,None
xrpl_tx_358,1,95,1.2e-05,XRP only,None
xrpl_tx_359,1,95,1.2e-05,XRP only,None
xrpl_tx_360,1,95,1.2e-05,XRP only,None
xrpl_tx_361,1,95,1.2e-05,XRP only,None
xrpl_tx_362,1,95,1.2e-05,XRP only,None
xrpl_tx_363,1,95,1.2e-05,XRP only,None
xrpl_tx_364,1,95,1.2e-05,XRP only,None
xrpl_tx_365,1,95,1.2e-05,XRP only,None
xrpl_tx_366,1,95,1.2e-05,XRP only,None
xrpl_tx_367,1,95,1.2e-05,XRP only,None
xrpl_tx_368,1,95,1.2e-05,XRP only,None
xrpl_tx_369,1,95,1.2e-05,XRP only,None
xrpl_tx_370,1,95,1.2e-05,XRP only,None
xrpl_tx_371,1,95,1.2e-05,XRP only,None
xrpl_tx_372,1,95,1.2e-05,XRP only,None
xrpl_tx_373,1,95,1.2e-05,XRP only,None
xrpl_tx_374,1,95,1.2e-05,XRP only,None
xrpl_tx_375,1,95,1.2e-05,XRP only,None
xrpl_tx_376,1,95,1.2e-05,XRP only,None
xrpl_tx_377,1,95,1.2e-05,XRP only,None
xrpl_tx_378,1,95,1.2e-05,XRP only,None
xrpl_tx_379,1,95,1.2e-05,XRP only,None
xrpl_tx_380,1,95,1.2e-05,XRP only,None
xrpl_tx_381,1,95,1.2e-05,XRP only,None
xrpl_tx_382,1,95,1.2e-05,XRP only,None
xrpl_tx_383,1,95,1.2e-05,XRP only,None
xrpl_tx_384,1,95,1.2e-05,XRP only,None
xrpl_tx_385,1,95,1.2e-05,XRP only,None
xrpl_tx_386,1,95,1.2e-05,XRP only,None
xrpl_tx_387,1,95,1.2e-05,XRP only,None
xrpl_tx_388,1,95,1.2e-05,XRP only,None
xrpl_tx_389,1,95,1.2e-05,XRP only,None
xrpl_tx_390,1,95,1.2e-05,XRP only,None
xrpl_tx_391,1,95,1.2e-05,XRP only,None
xrpl_tx_392,1,95,1.2e-05,XRP only,None
xrpl_tx_393,1,95,1.2e-05,XRP only,None
xrpl_tx_394,1,95,1.2e-05,XRP only,None
xrpl_tx_395,1,95,1.2e-05,XRP only,None
xrpl_tx_396,1,95,1.2e-05,XRP only,None
xrpl_tx_397,1,95,1.2e-05,XRP only,None
xrpl_tx_398,1,95,1.2e-05,XRP only,None
xrpl_tx_399,1,95,1.2e-05,XRP only,None
xrpl_tx_400,1,95,1.2e-05,XRP only,None
xrpl_tx_401,1,95,1.2e-05,XRP only,None
xrpl_tx_402,1,95,1.2e-05,XRP only,None
xrpl_tx_403,1,95,1.2e-05,XRP only,None
xrpl_tx_404,1,95,1.2e-05,XRP only,None
xrpl_tx_405,1,95,1.2e-05,XRP only,None
xrpl_tx_406,1,95,1.2e-05,XRP only,None
xrpl_tx_407,1,95,1.2e-05,XRP only,None
xrpl_tx_408,1,95,1.2e-05,XRP only,None
xrpl_tx_409,1,95,1.2e-05,XRP only,None
xrpl_tx_410,1,95,1.2e-05,XRP only,None
xrpl_tx_411,1,95,1.2e-05,XRP only,None
xrpl_tx_412,1,95,1.2e-05,XRP only,None
xrpl_tx_413,1,95,1.2e-05,XRP only,None
xrpl_tx_414,1,95,1.2e-05,XRP only,None
xrpl_tx_415,1,95,1.2e-05,XRP only,None
xrpl_tx_416,1,95,1.2e-05,XRP only,None
xrpl_tx_417,1,95,1.2e-05,XRP only,None
xrpl_tx_418,1,95,1.2e-05,XRP only,None
xrpl_tx_419,1,95,1.2e-05,XRP only,None
xrpl_tx_420,1,95,1.2e-05,XRP only,None
xrpl_tx_421,1,95,1.2e-05,XRP only,None
xrpl_tx_422,1,95,1.2e-05,XRP only,None
xrpl_tx_423,1,95,1.2e-05,XRP only,None
xrpl_tx_424,1,95,1.2e-05,XRP only,None
xrpl_tx_425,1,95,1.2e-05,XRP only,None
xrpl_tx_426,1,95,1.2e-05,XRP only,None
xrpl_tx_427,1,95,1.2e-05,XRP only,None
xrpl_tx_428,1,95,1.2e-05,XRP only,None
xrpl_tx_429,1,95,1.2e-05,XRP only,None
xrpl_tx_430,1,95,1.2e-05,XRP only,None
xrpl_tx_431,1,95,1.2e-05,XRP only,None
xrpl_tx_432,1,95,1.2e-05,XRP only,None
xrpl_tx_433,1,95,1.2e-05,XRP only,None
xrpl_tx_434,1,95,1.2e-05,XRP only,None
xrpl_tx_435,1,95,1.2e-05,XRP only,None
xrpl_tx_436,1,95,1.2e-05,XRP only,None
xrpl_tx_437,1,95,1.2e-05,XRP only,None
xrpl_tx_438,1,95,1.2e-05,XRP only,None
xrpl_tx_439,1,95,1.2e-05,XRP only,None
xrpl_tx_440,1,95,1.2e-05,XRP only,None
xrpl_tx_441,1,95,1.2e-05,XRP only,None
xrpl_tx_442,1,95,1.2e-05,XRP only,None
xrpl_tx_443,1,95,1.2e-05,XRP only,None
xrpl_tx_444,1,95,1.2e-05,XRP only,None
xrpl_tx_445,1,95,1.2e-05,XRP only,None
xrpl_tx_446,1,95,1.2e-05,XRP only,None
xrpl_tx_447,1,95,1.2e-05,XRP only,None
xrpl_tx_448,1,95,1.2e-05,XRP only,None
xrpl_tx_449,1,95,1.2e-05,XRP only,None
xrpl_tx_450,1,95,1.2e-05,XRP only,None
xrpl_tx_451,1,95,1.2e-05,XRP only,None
xrpl_tx_452,1,95,1.2e-05,XRP only,None
xrpl_tx_453,1,95,1.2e-05,XRP only,None
xrpl_tx_454,1,95,1.2e-05,XRP only,None
xrpl_tx_455,1,95,1.2e-05,XRP only,None
xrpl_tx_456,1,95,1.2e-05,XRP only,None
xrpl_tx_457,1,95,1.2e-05,XRP only,None
xrpl_tx_458,1,95,1.2e-05,XRP only,None
xrpl_tx_459,1,95,1.2e-05,XRP only,None
xrpl_tx_460,1,95,1.2e-05,XRP only,None
xrpl_tx_461,1,95,1.2e-05,XRP only,None
xrpl_tx_462,1,95,1.2e-05,XRP only,None
xrpl_tx_463,1,95,1.2e-05,XRP only,None
xrpl_tx_464,1,95,1.2e-05,XRP only,None
xrpl_tx_465,1,95,1.2e-05,XRP only,None
xrpl_tx_466,1,95,1.2e-05,XRP only,None
xrpl_tx_467,1,95,1.2e-05,XRP only,None
xrpl_tx_468,1,95,1.2e-05,XRP only,None
xrpl_tx_469,1,95,1.2e-05,XRP only,None
xrpl_tx_470,1,95,1.2e-05,XRP only,None
xrpl_tx_471,1,95,1.2e-05,XRP only,None
xrpl_tx_472,1,95,1.2e-05,XRP only,None
xrpl_tx_473,1,95,1.2e-05,XRP only,None
xrpl_tx_474,1,95,1.2e-05,XRP only,None
xrpl_tx_475,1,95,1.2e-05,XRP only,None
xrpl_tx_476,1,95,1.2e-05,XRP only,None
xrpl_tx_477,1,95,1.2e-05,XRP only,None
xrpl_tx_478,1,95,1.2e-05,XRP only,None
xrpl_tx_479,1,95,1.2e-05,XRP only,None
xrpl_tx_480,1,95,1.2e-05,XRP only,None
xrpl_tx_481,1,95,1.2e-05,XRP only,None
xrpl_tx_482,1,95,1.2e-05,XRP only,None
xrpl_tx_483,1,95,1.2e-05,XRP only,None
xrpl_tx_484,1,95,1.2e-05,XRP only,None
xrpl_tx_485,1,95,1.2e-05,XRP only,None
xrpl_tx_486,1,95,1.2e-05,XRP only,None
xrpl_tx_487,1,95,1.2e-05,XRP only,None
xrpl_tx_488,1,95,1.2e-05,XRP only,None
xrpl_tx_489,1,95,1.2e-05,XRP only,None
xrpl_tx_490,1,95,1.2e-05,XRP only,None
xrpl_tx_491,1,95,1.2e-05,XRP only,None
xrpl_tx_492,1,95,1.2e-05,XRP only,None
xrpl_tx_493,1,95,1.2e-05,XRP only,None
xrpl_tx_494,1,95,1.2e-05,XRP only,None
xrpl_tx_495,1,95,1.2e-05,XRP only,None
xrpl_tx_496,1,95,1.2e-05,XRP only,None
